"state_name","Date","race_grp","coverage","project"
"Alabama",2021-03-01,"Asian","22",0
"Alabama",2021-03-15,"Asian","29",0
"Alabama",2021-03-29,"Asian","38",0
"Alabama",2021-04-05,"Asian","43",0
"Alabama",2021-04-12,"Asian","47",0
"Alabama",2021-04-19,"Asian","51",0
"Alabama",2021-04-26,"Asian","54",0
"Alabama",2021-05-03,"Asian","56",0
"Alabama",2021-05-10,"Asian","59",0
"Alabama",2021-05-17,"Asian","60",0
"Alabama",2021-05-24,"Asian","61",0
"Alabama",2021-06-07,"Asian","63",0
"Alabama",2021-06-14,"Asian","65",0
"Alabama",2021-06-21,"Asian","68",0
"Alabama",2021-06-28,"Asian","70",0
"Alabama",2021-07-06,"Asian","73",0
"Alabama",2021-07-19,"Asian","76",0
"Alabama",2021-08-02,"Asian","80",0
"Alabama",2021-08-16,"Asian","83",0
"Alabama",2021-09-07,"Asian","90%+",0
"Alabama",2021-09-20,"Asian","90%+",0
"Alabama",2021-03-01,"Black","11",0
"Alabama",2021-03-15,"Black","16",0
"Alabama",2021-03-29,"Black","20",0
"Alabama",2021-04-05,"Black","26",0
"Alabama",2021-04-12,"Black","30",0
"Alabama",2021-04-19,"Black","32",0
"Alabama",2021-04-26,"Black","34",0
"Alabama",2021-05-03,"Black","35",0
"Alabama",2021-05-10,"Black","37",0
"Alabama",2021-05-17,"Black","38",0
"Alabama",2021-05-24,"Black","39",0
"Alabama",2021-06-07,"Black","41",0
"Alabama",2021-06-14,"Black","42",0
"Alabama",2021-06-21,"Black","45",0
"Alabama",2021-06-28,"Black","46",0
"Alabama",2021-07-06,"Black","47",0
"Alabama",2021-07-19,"Black","48",0
"Alabama",2021-08-02,"Black","51",0
"Alabama",2021-08-16,"Black","56",0
"Alabama",2021-09-07,"Black","60",0
"Alabama",2021-09-20,"Black","62",0
"Alabama",2021-03-01,"Hispanic","NR",0
"Alabama",2021-03-15,"Hispanic","NR",0
"Alabama",2021-03-29,"Hispanic","NR",0
"Alabama",2021-04-05,"Hispanic","NR",0
"Alabama",2021-04-12,"Hispanic","NR",0
"Alabama",2021-04-19,"Hispanic","NR",0
"Alabama",2021-04-26,"Hispanic","NR",0
"Alabama",2021-05-03,"Hispanic","NR",0
"Alabama",2021-05-10,"Hispanic","50",0
"Alabama",2021-05-17,"Hispanic","52",0
"Alabama",2021-05-24,"Hispanic","53",0
"Alabama",2021-06-07,"Hispanic","54",0
"Alabama",2021-06-14,"Hispanic","55",0
"Alabama",2021-06-21,"Hispanic","58",0
"Alabama",2021-06-28,"Hispanic","59",0
"Alabama",2021-07-06,"Hispanic","60",0
"Alabama",2021-07-19,"Hispanic","61",0
"Alabama",2021-08-02,"Hispanic","65",0
"Alabama",2021-08-16,"Hispanic","83",0
"Alabama",2021-09-07,"Hispanic","90%+",0
"Alabama",2021-09-20,"Hispanic","90%+",0
"Alabama",2021-03-01,"White","17",0
"Alabama",2021-03-15,"White","22",0
"Alabama",2021-03-29,"White","29",0
"Alabama",2021-04-05,"White","31",0
"Alabama",2021-04-12,"White","34",0
"Alabama",2021-04-19,"White","37",0
"Alabama",2021-04-26,"White","38",0
"Alabama",2021-05-03,"White","39",0
"Alabama",2021-05-10,"White","39",0
"Alabama",2021-05-17,"White","40",0
"Alabama",2021-05-24,"White","41",0
"Alabama",2021-06-07,"White","42",0
"Alabama",2021-06-14,"White","43",0
"Alabama",2021-06-21,"White","44",0
"Alabama",2021-06-28,"White","45",0
"Alabama",2021-07-06,"White","46",0
"Alabama",2021-07-19,"White","47",0
"Alabama",2021-08-02,"White","49",0
"Alabama",2021-08-16,"White","52",0
"Alabama",2021-09-07,"White","57",0
"Alabama",2021-09-20,"White","58",0
"Alabama",2021-09-21,"Asian","90%+",1
"Alabama",2021-09-21,"Black","63",1
"Alabama",2021-09-21,"Hispanic","90%+",1
"Alabama",2021-09-21,"White","58",1
"Alabama",2021-09-22,"Asian","90%+",1
"Alabama",2021-09-22,"Black","63",1
"Alabama",2021-09-22,"Hispanic","90%+",1
"Alabama",2021-09-22,"White","58",1
"Alabama",2021-09-23,"Asian","90%+",1
"Alabama",2021-09-23,"Black","63",1
"Alabama",2021-09-23,"Hispanic","90%+",1
"Alabama",2021-09-23,"White","58",1
"Alabama",2021-09-24,"Asian","90%+",1
"Alabama",2021-09-24,"Black","63",1
"Alabama",2021-09-24,"Hispanic","90%+",1
"Alabama",2021-09-24,"White","58",1
"Alabama",2021-09-25,"Asian","90%+",1
"Alabama",2021-09-25,"Black","63",1
"Alabama",2021-09-25,"Hispanic","90%+",1
"Alabama",2021-09-25,"White","58",1
"Alabama",2021-09-26,"Asian","90%+",1
"Alabama",2021-09-26,"Black","63",1
"Alabama",2021-09-26,"Hispanic","90%+",1
"Alabama",2021-09-26,"White","58",1
"Alabama",2021-09-27,"Asian","90%+",1
"Alabama",2021-09-27,"Black","64",1
"Alabama",2021-09-27,"Hispanic","90%+",1
"Alabama",2021-09-27,"White","59",1
"Alabama",2021-09-28,"Asian","90%+",1
"Alabama",2021-09-28,"Black","64",1
"Alabama",2021-09-28,"Hispanic","90%+",1
"Alabama",2021-09-28,"White","59",1
"Alabama",2021-09-29,"Asian","90%+",1
"Alabama",2021-09-29,"Black","64",1
"Alabama",2021-09-29,"Hispanic","90%+",1
"Alabama",2021-09-29,"White","59",1
"Alabama",2021-09-30,"Asian","90%+",1
"Alabama",2021-09-30,"Black","64",1
"Alabama",2021-09-30,"Hispanic","90%+",1
"Alabama",2021-09-30,"White","59",1
"Alabama",2021-10-01,"Asian","90%+",1
"Alabama",2021-10-01,"Black","64",1
"Alabama",2021-10-01,"Hispanic","90%+",1
"Alabama",2021-10-01,"White","59",1
"Alabama",2021-10-02,"Asian","90%+",1
"Alabama",2021-10-02,"Black","64",1
"Alabama",2021-10-02,"Hispanic","90%+",1
"Alabama",2021-10-02,"White","59",1
"Alabama",2021-10-03,"Asian","90%+",1
"Alabama",2021-10-03,"Black","65",1
"Alabama",2021-10-03,"Hispanic","90%+",1
"Alabama",2021-10-03,"White","59",1
"Alabama",2021-10-04,"Asian","90%+",1
"Alabama",2021-10-04,"Black","65",1
"Alabama",2021-10-04,"Hispanic","90%+",1
"Alabama",2021-10-04,"White","60",1
"Alabama",2021-10-05,"Asian","90%+",1
"Alabama",2021-10-05,"Black","65",1
"Alabama",2021-10-05,"Hispanic","90%+",1
"Alabama",2021-10-05,"White","60",1
"Alabama",2021-10-06,"Asian","90%+",1
"Alabama",2021-10-06,"Black","65",1
"Alabama",2021-10-06,"Hispanic","90%+",1
"Alabama",2021-10-06,"White","60",1
"Alabama",2021-10-07,"Asian","90%+",1
"Alabama",2021-10-07,"Black","65",1
"Alabama",2021-10-07,"Hispanic","90%+",1
"Alabama",2021-10-07,"White","60",1
"Alabama",2021-10-08,"Asian","90%+",1
"Alabama",2021-10-08,"Black","65",1
"Alabama",2021-10-08,"Hispanic","90%+",1
"Alabama",2021-10-08,"White","60",1
"Alabama",2021-10-09,"Asian","90%+",1
"Alabama",2021-10-09,"Black","66",1
"Alabama",2021-10-09,"Hispanic","90%+",1
"Alabama",2021-10-09,"White","60",1
"Alabama",2021-10-10,"Asian","90%+",1
"Alabama",2021-10-10,"Black","66",1
"Alabama",2021-10-10,"Hispanic","90%+",1
"Alabama",2021-10-10,"White","60",1
"Alabama",2021-10-11,"Asian","90%+",1
"Alabama",2021-10-11,"Black","66",1
"Alabama",2021-10-11,"Hispanic","90%+",1
"Alabama",2021-10-11,"White","60",1
"Alabama",2021-10-12,"Asian","90%+",1
"Alabama",2021-10-12,"Black","66",1
"Alabama",2021-10-12,"Hispanic","90%+",1
"Alabama",2021-10-12,"White","61",1
"Alabama",2021-10-13,"Asian","90%+",1
"Alabama",2021-10-13,"Black","66",1
"Alabama",2021-10-13,"Hispanic","90%+",1
"Alabama",2021-10-13,"White","61",1
"Alabama",2021-10-14,"Asian","90%+",1
"Alabama",2021-10-14,"Black","66",1
"Alabama",2021-10-14,"Hispanic","90%+",1
"Alabama",2021-10-14,"White","61",1
"Alabama",2021-10-15,"Asian","90%+",1
"Alabama",2021-10-15,"Black","66",1
"Alabama",2021-10-15,"Hispanic","90%+",1
"Alabama",2021-10-15,"White","61",1
"Alabama",2021-10-16,"Asian","90%+",1
"Alabama",2021-10-16,"Black","67",1
"Alabama",2021-10-16,"Hispanic","90%+",1
"Alabama",2021-10-16,"White","61",1
"Alabama",2021-10-17,"Asian","90%+",1
"Alabama",2021-10-17,"Black","67",1
"Alabama",2021-10-17,"Hispanic","90%+",1
"Alabama",2021-10-17,"White","61",1
"Alabama",2021-10-18,"Asian","90%+",1
"Alabama",2021-10-18,"Black","67",1
"Alabama",2021-10-18,"Hispanic","90%+",1
"Alabama",2021-10-18,"White","61",1
"Alabama",2021-10-19,"Asian","90%+",1
"Alabama",2021-10-19,"Black","67",1
"Alabama",2021-10-19,"Hispanic","90%+",1
"Alabama",2021-10-19,"White","62",1
"Alabama",2021-10-20,"Asian","90%+",1
"Alabama",2021-10-20,"Black","67",1
"Alabama",2021-10-20,"Hispanic","90%+",1
"Alabama",2021-10-20,"White","62",1
"Alabama",2021-10-21,"Asian","90%+",1
"Alabama",2021-10-21,"Black","67",1
"Alabama",2021-10-21,"Hispanic","90%+",1
"Alabama",2021-10-21,"White","62",1
"Alabama",2021-10-22,"Asian","90%+",1
"Alabama",2021-10-22,"Black","67",1
"Alabama",2021-10-22,"Hispanic","90%+",1
"Alabama",2021-10-22,"White","62",1
"Alabama",2021-10-23,"Asian","90%+",1
"Alabama",2021-10-23,"Black","68",1
"Alabama",2021-10-23,"Hispanic","90%+",1
"Alabama",2021-10-23,"White","62",1
"Alabama",2021-10-24,"Asian","90%+",1
"Alabama",2021-10-24,"Black","68",1
"Alabama",2021-10-24,"Hispanic","90%+",1
"Alabama",2021-10-24,"White","62",1
"Alabama",2021-10-25,"Asian","90%+",1
"Alabama",2021-10-25,"Black","68",1
"Alabama",2021-10-25,"Hispanic","90%+",1
"Alabama",2021-10-25,"White","62",1
"Alabama",2021-10-26,"Asian","90%+",1
"Alabama",2021-10-26,"Black","68",1
"Alabama",2021-10-26,"Hispanic","90%+",1
"Alabama",2021-10-26,"White","62",1
"Alabama",2021-10-27,"Asian","90%+",1
"Alabama",2021-10-27,"Black","68",1
"Alabama",2021-10-27,"Hispanic","90%+",1
"Alabama",2021-10-27,"White","63",1
"Alabama",2021-10-28,"Asian","90%+",1
"Alabama",2021-10-28,"Black","68",1
"Alabama",2021-10-28,"Hispanic","90%+",1
